mode,batch_size,records,throughput_records_s,latency_mean_ms,latency_p95_ms,latency_max_ms
batch,100,60000,6223229.7417296525,20.207310514914326,38.04728875005978,40.028510999982245
batch,500,60000,22126112.938774373,100.21059981677827,190.0724165014197,200.0547320014448
batch,1000,60000,20486912.452964712,200.2220630002029,380.06758894956306,400.04932199954055
batch,5000,60000,30030014.99736894,1000.274099332778,1900.1268150999329,2000.1095719999284
batch,10000,60000,35620315.97072897,2000.3354355008514,3800.189227351033,4000.1722480010358
streaming,100,60000,1477264.0930573328,0.00043845107629749693,0.0006219997885636985,0.11847099813167006
streaming,500,60000,1482382.2574578724,0.00044462461525351195,0.0005949987098574638,0.23336399681284092
streaming,1000,60000,1303288.677400271,0.000512063627987421,0.0006669979484286159,0.1872790016932413
streaming,5000,60000,1342489.8900457146,0.0004857885321447005,0.0006400005077011883,0.11257499863859266
streaming,10000,60000,1451027.84636283,0.00045743909443748027,0.0006130030669737607,0.10440600090078078
