size,implementation,seconds,speedup_vs_sequential,efficiency,workers
250000,python_sequential,0.05113343800258008,1.0,1.0,1
250000,numpy_vectorized,0.008872198999597458,5.763333081787284,5.763333081787284,1
250000,multiprocessing,0.034221660000184784,1.4941834499642617,0.3735458624910654,4
500000,python_sequential,0.09782737500063377,1.0,1.0,1
500000,numpy_vectorized,0.01914396400024998,5.11008979119248,5.11008979119248,1
500000,multiprocessing,0.048932475998299196,1.9992320642845474,0.49980801607113684,4
1000000,python_sequential,0.20538873400073498,1.0,1.0,1
1000000,numpy_vectorized,0.025524347001919523,8.046777219620507,8.046777219620507,1
1000000,multiprocessing,0.05935744700036594,3.460201615468212,0.865050403867053,4
2000000,python_sequential,0.42257291200075997,1.0,1.0,1
2000000,numpy_vectorized,0.04718709000007948,8.955265349061538,8.955265349061538,1
2000000,multiprocessing,0.09618492700246861,4.393338178547607,1.0983345446369017,4
4000000,python_sequential,0.9097874660001253,1.0,1.0,1
4000000,numpy_vectorized,0.08509125799901085,10.691902874566752,10.691902874566752,1
4000000,multiprocessing,0.15578156899937312,5.840148304089724,1.460037076022431,4
