format,query,seconds,rss_mb,checksum,size_mb
parquet_flat_build,build,3.2916247270004533,456.55859375,0.0,42.53046131134033
parquet_partitioned_build,build,3.5731345690001035,456.55859375,0.0,64.14015102386475
csv,full_read,2.348300780999125,446.99609375,111090469662.0,147.88306617736816
parquet_flat,full_read,0.28824180400260957,684.6796875,111090469662.0,42.53046131134033
parquet_partitioned,full_read,0.188357127000927,894.4453125,111090469662.0,64.14015102386475
csv,filtered_query,2.4575453819998074,894.4453125,37072308.47,147.88306617736816
parquet_flat,filtered_query,0.18744606099789962,678.84375,37072308.47,42.53046131134033
parquet_partitioned,filtered_query,0.11677818600219325,719.98046875,37072308.47,64.14015102386475
csv,aggregation,2.6018754040014755,719.98046875,111090469662.0,147.88306617736816
parquet_flat,aggregation,0.3797030219975568,765.11328125,111090469662.0,42.53046131134033
parquet_partitioned,aggregation,0.3794592680023925,1017.453125,111090469662.0,64.14015102386475
