visit_month,species,visits_sum,cost_sum,duration_sum,avg_cost_per_visit,avg_duration_per_visit
2024-01,ave,5792,429949516.0,222870.31,74231.62,38.48
2024-01,conejo,7700,567427249.0,292834.38,73691.85,38.03
2024-01,gato,32571,2418656705.0,1248575.29,74257.98,38.33
2024-01,perro,49570,3673570086.0,1890104.24,74108.74,38.13
2024-02,ave,5414,399929081.0,208044.82,73869.43,38.43
2024-02,conejo,7358,546945603.0,285575.12,74333.46,38.81
2024-02,gato,30382,2254304357.0,1163014.69,74198.68,38.28
2024-02,perro,46614,3455858048.0,1776405.02,74137.77,38.11
2024-03,ave,5760,422941101.0,221223.87,73427.27,38.41
2024-03,conejo,7746,572451859.0,292726.2,73902.9,37.79
2024-03,gato,32733,2422668229.0,1255529.54,74013.02,38.36
2024-03,perro,49823,3681270889.0,1911635.8,73886.98,38.37
2024-04,ave,5562,410921765.0,213717.22,73880.22,38.42
2024-04,conejo,7318,540869987.0,278705.18,73909.54,38.08
2024-04,gato,31660,2336811464.0,1214869.76,73809.59,38.37
2024-04,perro,48017,3548811228.0,1838600.46,73907.39,38.29
2024-05,ave,5938,440376146.0,226069.12,74162.37,38.07
2024-05,conejo,7725,572049392.0,294882.74,74051.7,38.17
2024-05,gato,32504,2410965058.0,1243835.06,74174.41,38.27
2024-05,perro,49647,3692305490.0,1903809.43,74371.17,38.35
2024-06,ave,5494,409450483.0,210743.32,74526.84,38.36
2024-06,conejo,7535,556182025.0,290664.26,73813.14,38.58
2024-06,gato,31532,2334371304.0,1209718.38,74031.82,38.36
2024-06,perro,48564,3577306842.0,1869053.37,73661.7,38.49
2024-07,ave,5795,425306777.0,223459.7,73392.02,38.56
2024-07,conejo,7702,572403398.0,295680.95,74318.8,38.39
2024-07,gato,32800,2428565260.0,1262987.02,74041.62,38.51
2024-07,perro,49781,3684097520.0,1908772.2,74006.1,38.34
2024-08,ave,5833,432377126.0,222817.09,74126.03,38.2
2024-08,conejo,7598,561257218.0,289886.27,73869.07,38.15
2024-08,gato,32539,2410654296.0,1241975.05,74085.08,38.17
2024-08,perro,49680,3676892154.0,1905589.65,74011.52,38.36
2024-09,ave,5576,413860287.0,215722.76,74221.72,38.69
2024-09,conejo,7457,553460501.0,284810.62,74220.26,38.19
2024-09,gato,31547,2341928256.0,1217096.99,74236.16,38.58
2024-09,perro,48210,3570309266.0,1854892.07,74057.44,38.48
2024-10,ave,5772,428493965.0,222283.11000000002,74236.65,38.51
2024-10,conejo,7525,556514492.0,284019.95,73955.41,37.74
2024-10,gato,32723,2420768170.0,1255395.64,73977.57,38.36
2024-10,perro,49830,3692661980.0,1914345.87,74105.2,38.42
2024-11,ave,5546,407635757.0,213615.4,73500.86,38.52
2024-11,conejo,7204,532573182.0,275671.17,73927.43,38.27
2024-11,gato,31317,2320361889.0,1206030.63,74092.73,38.51
2024-11,perro,48231,3577486065.0,1848871.87,74174.0,38.33
2024-12,ave,5559,413793977.0,211226.04,74436.77,38.0
2024-12,conejo,7387,547230338.0,282843.66,74080.19,38.29
2024-12,gato,31730,2347965511.0,1222879.54,73998.28,38.54
2024-12,perro,48307,3571950119.0,1860702.84,73942.7,38.52
